attribute ns name, attribute local name, defind by, element ns name, element local name
http://purl.oclc.org/ooxml/wordprocessingml/main, val, w_CT_OnOff,,
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, active
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, adjustLineHeightInTable
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, adjustRightInd
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, alignBordersAndEdges
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, allowPNG
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, alwaysMergeEmptyNamespace
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, alwaysShowPlaceholderText
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, applyBreakingRules
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, autoFormatOverride
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, autoHyphenation
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, autoRedefine
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, autoSpaceDE
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, autoSpaceDN
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, b
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bCs
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, balanceSingleByteDoubleByteWidth
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bidi
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bidiVisual
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, blockQuote
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bodyDiv
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bookFoldPrinting
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bookFoldRevPrinting
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bordersDoNotSurroundFooter
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, bordersDoNotSurroundHeader
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, calcOnExit
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, cantSplit
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, caps
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, checked
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, contextualSpacing
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, cs
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, default
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, dirty
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, displayBackgroundShape
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotAutoCompressPictures
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotDemarcateInvalidXml
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotDisplayPageBoundaries
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotEmbedSmartTags
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotExpandShiftReturn
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotHyphenateCaps
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotIncludeSubdocsInStats
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotLeaveBackslashAlone
,,, http://purl.oclc.org/ooxml/wordprocessingml/main, doNotOrganizeInFolder
